url,slug,name,price_dkk
https://www.lidl.dk/p/high-protein-yoghurt/p10029454,high-protein-yoghurt,HIGH PROTEIN Yoghurt,7
https://www.lidl.dk/p/madvaerket-danbo-45-ml/p10025437,madvaerket-danbo-45-ml,MADVÆRKET Danbo 45+ ML,54.95
https://www.lidl.dk/p/groenne-aebler/p10029654,groenne-aebler,,
https://www.lidl.dk/p/lupilu-trusser-eller-boxershorts-til-boern/p10029635,lupilu-trusser-eller-boxershorts-til-boern,LUPILU® Trusser eller boxershorts til børn,30
https://www.lidl.dk/p/parkside-digital-skydelaere-eller-vinkelmaaler/p10029347,parkside-digital-skydelaere-eller-vinkelmaaler,,
https://www.lidl.dk/p/disney-2026-marvel-sweatshirt/p10029328,disney-2026-marvel-sweatshirt,,
https://www.lidl.dk/p/nordthy-vaffelroer/p10029465,nordthy-vaffelroer,NORDTHY Vaffelrør,18
https://www.lidl.dk/p/vitasia/p10029513,vitasia,Vitasia,15
https://www.lidl.dk/p/neo-ribera-a-del-duero-d-o-crianza/p10015683,neo-ribera-a-del-duero-d-o-crianza,Neo Ribera a del Duero D.O. Crianza,"30,33"
https://www.lidl.dk/p/esmara-t-shirt/p10029373,esmara-t-shirt,,
https://www.lidl.dk/p/lupilu-sikkerhedsvatpinde/p130693,lupilu-sikkerhedsvatpinde,Lupilu Sikkerhedsvatpinde,"30,33"
https://www.lidl.dk/p/silvercrest-skaerebraetssaet-eller-teboks/p10029568,silvercrest-skaerebraetssaet-eller-teboks,SILVERCREST® Skærebrætssæt eller teboks,40
https://www.lidl.dk/p/formil-sensitive-color-care/p6500833,formil-sensitive-color-care,Formil sensitive color care,"30,33"
https://www.lidl.dk/p/chokoladedonut/p182155,chokoladedonut,Chokoladedonut,"30,33"
https://www.lidl.dk/p/rygsaek/p10029314,rygsaek,,
https://www.lidl.dk/p/valnoeddebroed/p10029444,valnoeddebroed,Valnøddebrød,20
https://www.lidl.dk/p/parkside-invertersvejser/p10029342,parkside-invertersvejser,,
